,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,1.0,Москва,,11514.3,5332.7,6181.6
1,2.0,Санкт-Петербург,,4848.7,2209.6,2639.1
2,3.0,Новосибирск,Новосибирская область,1473.7,676.5,797.2
3,4.0,Екатеринбург,Свердловская область,1350.1,605.4,744.7
4,5.0,Нижний Новгород,Нижегородская область,1250.6,550.2,700.4
5,6.0,Самара,Самарская область,1164.9,522.4,642.5
6,7.0,Омск,Омская область,1154.0,525.8,628.2
7,8.0,Казань,Республика Татарстан,1143.6,510.9,632.7
8,9.0,Челябинск,Челябинская область,1130.3,506.6,623.7
9,10.0,Ростов-на-Дону,Ростовская область,1089.9,498.8,591.1
10,11.0,Уфа,Республика Башкортостан,1062.3,480.8,581.5
11,12.0,Волгоград,Волгоградская область,1021.2,462.3,558.9
12,,,,,,
13,,II. Города с численностью населения от 500 тыс. человек до 1 млн. человек,,,,
14,,,,,,
15,1.0,Пермь,Пермский край,991.5,438.6,552.9
16,2.0,Красноярск,Красноярский край,973.9,441.2,532.7
17,3.0,Воронеж,Воронежская область,890.0,401.7,495.3
18,4.0,Саратов,Саратовская область,837.8,374.3,463.5
19,5.0,Краснодар,Краснодарский край,744.9,337.9,407.0
20,6.0,Тольятти,Самарская область,719.5,331.8,387.7
21,7.0,Ижевск,Удмуртская Республика,628.1,281.0,347.1
22,8.0,Ульяновск,Ульяновская область,613.8,278.0,335.8
23,9.0,Барнаул,Алтайский край,612.1,272.8,339.3
24,10.0,Владивосток,Приморский край,592.1,278.5,313.6
25,11.0,Ярославль,Ярославская область,591.5,259.8,331.7
26,12.0,Иркутск,Иркутская область,587.2,263.6,323.6
27,13.0,Тюмень,Тюменская область,581.8,268.1,313.7
28,14.0,Махачкала,Республика Дагестан,578.0,272.6,305.4
29,15.0,Хабаровск,Хабаровский край,577.7,268.5,309.2
30,16.0,Новокузнецк,Кемеровская область,547.9,247.2,300.7
31,17.0,Оренбург,Оренбургская область,547.0,249.9,297.1
32,18.0,Кемерово,Кемеровская область,532.9,238.5,294.4
33,19.0,Рязань,Рязанская область,525.1,237.4,287.7
34,20.0,Томск,Томская область ,522.9,243.1,279.8
35,21.0,Астрахань,Астраханская область,520.7,239.0,281.7
36,22.0,Пенза,Пензенская область,517.1,234.0,283.1
37,23.0,Набережные Челны,Республика Татарстан,513.2,236.3,276.9
38,24.0,Липецк ,Липецкая область,508.1,230.5,277.6
39,25.0,Тула,Тульская область,501.1,221.4,279.7
40,,,,,,
41,,,,,,
42,,,,,,
43,,III. Города с численностью населения от 250 тыс. человек до 500 тыс. человек,,,,
44,,,,,,
45,1.0,Киров,Кировская область,473.7,208.7,265.0
46,2.0,Чебоксары,Чувашская Республика,453.6,203.2,250.4
47,3.0,Калининград,Калининградская область,431.5,199.0,232.5
48,4.0,Брянск,Брянская область,415.6,185.3,230.3
49,5.0,Курск,Курская область,414.6,184.3,230.3
50,6.0,Иваново,Ивановская область,409.3,180.5,228.8
51,7.0,Магнитогорск,Челябинская область,408.4,186.2,222.2
52,8.0,Улан-Удэ,Республика Бурятия,404.4,188.1,216.3
53,9.0,Тверь,Тверская область,403.7,178.4,225.3
54,10.0,Ставрополь,Ставропольский край,398.3,184.0,214.3
55,11.0,Нижний Тагил,Свердловская область,361.9,164.8,197.1
56,12.0,Белгород,Белгородская область,356.4,161.2,195.2
57,13.0,Архангельск,Архангельская область,348.7,156.0,192.7
58,14.0,Владимир,Владимирская область,345.6,154.5,191.1
59,15.0,Сочи,Краснодарский край,343.3,155.3,188.0
60,16.0,Курган,Курганская область,333.6,149.7,183.9
61,17.0,Смоленск,Смоленская область,326.9,145.0,181.9
62,18.0,Калуга,Калужская область,325.2,144.6,180.6
63,19.0,Чита,Забайкальский край,323.9,150.7,173.2
64,20.0,Орел,Орловская область,317.9,139.8,178.1
65,21.0,Волжский,Волгоградская область,314.4,145.5,168.9
66,22.0,Череповец,Вологодская область,312.3,142.1,170.2
67,23.0,Владикавказ,Республика Северная Осетия-Алания,311.6,141.7,169.9
68,24.0,Мурманск,Мурманская область,307.7,141.6,166.1
69,25.0,Сургут,Ханты-Мансийский автономный округ - Югра,306.7,147.5,159.2
70,26.0,Вологда,Вологодская область,301.6,134.0,167.6
71,27.0,Саранск,Республика Мордовия,297.4,132.3,165.1
72,28.0,Тамбов,Тамбовская область,280.5,125.8,154.7
73,29.0,Стерлитамак,Республика Башкортостан,273.4,125.0,148.4
74,30.0,Грозный,Чеченская Республика,271.6,132.5,139.1
75,31.0,Якутск,Республика Саха (Якутия),269.5,127.2,142.3
76,32.0,Кострома,Костромская область,268.6,120.1,148.5
77,33.0,Комсомольск-на-Амуре,Хабаровский край,263.9,122.8,141.1
78,34.0,Петрозаводск,Республика Карелия,263.5,117.7,145.8
79,35.0,Таганрог,Ростовская область,257.7,115.5,142.2
80,36.0,Нижневартовск,Ханты-Мансийский автономный округ - Югра,251.9,122.3,129.6
81,,,,,,
82,,IV. Города с численностью населения от 100 тыс. человек до 250 тыс. человек,,,,
83,,,,,,
84,1.0,Йошкар-Ола,Республика Марий Эл,248.7,111.8,136.9
85,2.0,Братск,Иркутская область,246.3,111.7,134.6
86,3.0,Новороссийск,Краснодарский край,241.8,114.2,127.6
87,4.0,Дзержинск,Нижегородская область,240.8,106.5,134.3
88,5.0,Шахты,Ростовская область,240.1,108.6,131.5
89,6.0,Нальчик,Кабардино-Балкарская Республика,240.1,107.3,132.8
90,7.0,Орск,Оренбургская область,239.8,107.5,132.3
91,8.0,Сыктывкар,Республика Коми,235.0,106.4,128.6
92,9.0,Нижнекамск,Республика Татарстан,234.1,111.1,123.0
93,10.0,Ангарск,Иркутская область,233.7,106.7,127.0
94,11.0,Старый Оскол,Белгородская область,221.1,101.3,119.8
95,12.0,Великий Новгород,Новгородская область,218.7,95.3,123.4
96,13.0,Балашиха,Московская область,215.3,106.1,109.2
